"אוזן"
"איבר"
"אף"
"בולבול"
"בטן"
"ביצה"
"ברך"
"גב"
"גבה"
"גולגולת"
"גוף"
"גרון"
"דופק"
"וריד"
"ושט"
"זין"
"זנב"
"זקן"
"חזה"
"חך"
"חיך"
"טוסיק"
"טחול"
"יבלת"
"ירך"
"כבד"
"כליה"
"כתף"
"לב"
"לסת"
"לשון"
"מוח"
"מותן"
"מצח"
"נחיר"
"נפש"
"נשמה"
"סנטר"
"עור"
"עורק"
"עין"
"עצם"
"פה"
"פטמה"
"פרצוף"
"צוואר"
"ציפורן"
"ציץ"
"ציצי"
"צלע"
"קרקפת"
"ראש"
"רגל"
"ריאה"
"ריס"
"שד"
"שדי"
"שיער"
"שן"
"שערה"
"שפה"
"תחת"
